-7.42,396.3,,-7.52,405.6,,-7.75,349.1
-7.29,397.6,,-7.21,407.1,,-7.74,350.8
-7.37,398.2,,-7.09,410.8,,-7.53,352.5
-7.39,399.3,,-7.1,411.9,,-7.55,353.9
-7.37,400.4,,-7.05,413.5,,-7.38,356.3
-7.26,406.3,,-6.89,415.1,,-7.7,357.8
-7.7,406.5,,-6.76,416.4,,-7.55,361.4
-7.43,407.5,,-6.73,418.1,,-7.37,363.7
-7.45,415.4,,-6.45,419.5,,-7.15,365
-7.42,416.8,,-6.87,420.7,,-7.52,368.4
-7.31,418.7,,-6.81,422,,-7.97,368.8
-7.13,420.1,,-6.67,423.9,,-7.52,369.6
-7.67,421.3,,-6.52,425.8,,-7.85,391.3
-7.45,424.6,,-6.55,427.5,,-7.72,398.2
-7.48,425.7,,-6.64,428.8,,-8.02,401.5
-7.81,426.7,,-6.6,430.1,,-8.12,405
-7.29,428.2,,-6.75,431.2,,-7.86,414.8
-7.43,429.4,,-6.35,432.6,,-7.9,417
-7.29,433.1,,-6.23,433.8,,-7.77,420.3
-7.5,434.4,,-6.44,435.4,,-7.23,422.7
-7.55,435.5,,-6.57,436.6,,-7.6,424
-7.32,437,,-6.58,438.3,,-7.16,425.5
-7.34,441,,-6.47,439.3,,-6.97,426.9
-7.66,442.1,,-6.34,440.6,,-6.91,428.8
-7.37,443.5,,-6.72,442.3,,-6.77,434.2
-7.69,445.5,,-6.47,443.6,,-6.98,435.4
-7.47,448.6,,-6.55,444.7,,-6.71,435.5
-7.68,451,,-6.41,446.1,,-6.95,436.5
-7.65,452.4,,-6.56,448.7,,-7.21,438
-7.44,453.5,,-6.44,449.7,,-6.99,441.3
-7.47,454.8,,-6.17,451.3,,-6.97,442.3
-7.44,456.6,,-6.29,452.9,,-6.92,443.3
-7.56,457.8,,-6.47,454.7,,-6.53,444.8
-7.49,459.1,,-6.19,455.9,,-7.18,445.9
-7.37,463.3,,-6.13,457.3,,-6.92,447.1
-7.19,467.9,,-6.2,458.6,,-6.18,447.8
-7.39,469.1,,-6.38,460.1,,-6.53,449.4
-7.33,470.9,,-6.22,461.4,,-6.68,450.7
-7.24,471.9,,-6.09,462.5,,-6.37,454.9
-7.56,473.2,,-6.12,463.7,,-6.52,456.1
-7.36,474.5,,-6.14,465.5,,-6.55,457.7
-7.47,475.6,,-6.06,466.9,,-6.55,459.4
-7.47,474.9,,-5.91,468,,-6.22,460.9
-7.3,476.5,,-5.91,469,,-6.35,461.9
-6.28,478.2,,-6.1,470.5,,-6.18,464.3
-7.27,481,,-6.02,471.8,,-6.19,465.7
-7.36,482.9,,-5.86,474.4,,-8.54,470
-7.37,484.1,,-5.76,475.5,,-6.09,472.9
-7.81,488.9,,-5.67,476.8,,-6.65,474.3
-7.97,496.8,,-5.44,479.3,,-5.97,487
-7.89,498.5,,-5.95,480.5,,-5.97,488.4
-7.72,504.5,,-5.77,487,,-6.39,493.1
-7.82,514.7,,-5.37,488.7,,-6.71,494.2
-4.94,536.7,,-5.27,489.8,,-6.46,497
-7.51,539.8,,-5.92,491,,-6.33,498.3
-7.01,550.2,,-5.33,493.5,,-6.25,499.7
-6.91,552,,-5.44,495.3,,-6.85,501.2
-6.73,554.3,,-5.25,496.9,,-6.12,504.1
-6.59,548.8,,-5.46,498.3,,-6.12,513.4
-6.35,550.4,,-5.09,499.8,,-5.97,515.2
-6.98,551.5,,-4.91,501,,-5.94,518.8
-6.47,554.3,,-5.45,502.3,,-5.71,524.5
-6.06,558.6,,-5.42,503.5,,-5.94,527.8
-6.28,560.8,,-5.06,505.1,,-5.5,528.8
-6.3,562.2,,-5.37,506.6,,-5.12,530.2
-5.93,563.5,,-4.52,507.9,,-5.58,531.2
-5.87,565.6,,-4.56,509.4,,-5.81,532.4
-5.66,568.6,,-4.62,510.5,,-5.6,533.5
-6.21,570.9,,-4.68,512,,-5.49,534.8
-5.68,572.5,,-4.32,513.5,,-5.47,545.8
-6.18,581.5,,-4.47,514.6,,-5.44,546.9
-5.94,582.5,,-4.13,515.7,,-4.96,548.1
-6.07,585.7,,-4.23,517.5,,-4.44,551.7
-5.94,588.7,,-4.36,519.1,,-4.38,552.9
-5.87,603.2,,-4.33,520.5,,-6.3,555.5
-5.61,592.3,,-4.07,522.5,,-4.54,555.6
-5.71,594.1,,-3.82,524.6,,-3.87,556.6
-5.83,595.1,,-4.01,526,,-4.24,559.8
-5.53,597.7,,-3.76,527.2,,-4.09,563
-5.67,599.4,,-3.44,528.4,,-3.6,564.6
-5.83,601.4,,-3.4,529.5,,-3.67,565.7
-5.88,604.7,,-3.33,530.5,,-3.51,566.9
-5.92,606.4,,-3.42,531.6,,-6,567.2
-5.34,608.9,,-3.09,532.6,,-3.45,568.2
-5.89,610.4,,-2.83,533.8,,-3.53,570
-5.69,612.4,,-2.93,535.1,,-2.99,571
-5.09,614.2,,-2.67,536.4,,-3.12,578.8
-5.26,617.7,,-2.46,538.5,,-1.78,581.8
3.13,619.9,,-2.35,539.9,,-1.91,583.3
-4.9,621,,-2.14,541.3,,-1.14,590.4
-5.07,623.2,,-1.79,542.5,,0.11,633.6
-4.69,625.9,,-1.72,543.7,,1.42,634.6
-5.09,629.2,,-1.32,545.6,,-0.05,635.6
-4.51,630.9,,-1.27,546.6,,,
-4.39,632,,-1.43,547.7,,,
-4.21,633.6,,-0.93,549.8,,,
-4,635.7,,-0.54,551,,,
-4.28,637.1,,-0.67,552.3,,,
-3.61,638.5,,-0.94,553.4,,,
-4.03,640.2,,-1.17,613.6,,,
-3.33,655.3,,0.68,614.6,,,
-2.07,673.2,,1.11,615.7,,,
,,,1.73,616.8,,,
,,,1.21,617.4,,,
,,,2.95,617.8,,,
,,,0.94,618.8,,,
