-0.032280637,0.8
-0.022232398,2.6
-0.047236887,2.8
0.017440655,3.4
-0.08952295,3.6
-0.005918579,4.8
-0.10940714,5.4
0.097986863,5.8
-0.042399204,6.2
0.032684071,7
-0.061421586,8.2
0.058318246,9
0.135161541,9.2
-0.863793155,10.4
-4.006455984,11.6
-4.832593921,12.4
-4.354471859,14
-4.107583252,15.2
-3.757605795,17.4
-3.297402804,18.6
-3.207941864,18.8
-3.212548661,19.6
-2.960873362,20
-2.944040416,20.6
-2.490650585,21.6
-2.546005945,22.2
-2.295878943,22.6
-2.393447541,22.8
-2.199276002,23.8
-2.120499254,24
-1.660079624,24.8
-1.821741595,25.2
-1.665217449,25.6
-1.053845851,27.2
-0.040728015,31.6
0.132096952,34
0.066010417,34.8
0.025784074,35.2
-0.091014269,36.2
0.022675584,36.8
0.04488338,37.8
0.097191002,38.2
-0.723661326,41.8
0.033720846,43.4
-0.005745546,43.8
-0.135534084,44
-0.070937099,45.6
-0.1033762,46.8
-0.141114643,47.2
0.003158193,49
