-10.18,0.1
-10.41,5.1
-10.4,8.7
-9.55,14.8
-9.99,16.1
-10.05,18.3
-10.11,20.5
-9.84,27.5
-9.75,30.7
-9.73,31.9
-9.56,34.2
-9.4,38
-9.27,43.6
-9.13,48.5
-9.14,50.1
-9.16,51.8
-8.91,53.4
-8.96,58.5
-8.86,66.8
-8.67,72.4
-8.2,73.4
-8.38,75.2
-8.47,77
-7.97,88.7
-7.99,90.3
-7.69,92.7
-7.35,95.1
-7.51,97.4
-7.35,102.2
-7.37,105.8
-7.49,107
-7.47,108.8
-7.17,110
-7.47,111.7
-7.27,113.9
-6.9,117.3
-7.63,120.7
-7.85,122.2
-7.54,128.7
-7.74,129.9
-7.54,130.2
-7.5,142
-7.6,144
-7.37,148.7
-7.44,158.2
-7.55,160.2
-7.22,165.3
-7.35,167.3
-7.25,169
-7.27,172
-7.25,178.7
-7.23,180.9
-7.82,182.3
-7.28,185.5
-7.91,186.2
-7.13,187.8
-8.08,196.6
-7.27,198.7
-7.23,199.8
-7.07,205.5
-7.37,220.7
-7.6,223.1
-7.02,236.3
-7.25,240.4
-7.04,241.5
-7.22,243.7
-9.02,246.7
-7.01,249.1
-7.42,252.4
-7.55,254.4
-7.65,256.8
-7.52,258.2
-7.49,259.7
-7.43,262.7
-7.6,263.7
-7.46,264.6
-7.5,266
-7.19,272.8
-7.14,281.2
-7,283
-7.19,289.2
-7.46,292
-7.69,292.4
-6.85,305.9
-7.11,308.9
-7.47,313
-7.32,315.5
-7.07,315.9
-7.7,318.3
-7.36,319
-7.52,326.4
-7.57,332.2
-7.68,333.8
-6.99,337.7
-7.07,339
-7.33,341.1
-7.48,345.1
-7.6,345.3
-7.49,346.4
-7.75,349.1
-7.74,350.8
-7.53,352.5
-7.55,353.9
-7.38,356.3
-7.7,357.8
-7.55,361.4
-7.37,363.7
-7.15,365
-7.52,368.4
-7.97,368.8
-7.52,369.6
-7.85,391.3
-7.72,398.2
-8.02,401.5
-8.12,405
-7.86,414.8
-7.9,417
-7.77,420.3
-7.23,422.7
-7.6,424
-7.16,425.5
-6.97,426.9
-6.91,428.8
-6.77,434.2
-6.98,435.4
-6.71,435.5
-6.95,436.5
-7.21,438
-6.99,441.3
-6.97,442.3
-6.92,443.3
-6.53,444.8
-7.18,445.9
-6.92,447.1
-6.18,447.8
-6.53,449.4
-6.68,450.7
-6.37,454.9
-6.52,456.1
-6.55,457.7
-6.55,459.4
-6.22,460.9
-6.35,461.9
-6.18,464.3
-6.19,465.7
-8.54,470
-6.09,472.9
-6.65,474.3
-5.97,487
-5.97,488.4
-6.39,493.1
-6.71,494.2
-6.46,497
-6.33,498.3
-6.25,499.7
-6.85,501.2
-6.12,504.1
-6.12,513.4
-5.97,515.2
-5.94,518.8
-5.71,524.5
-5.94,527.8
-5.5,528.8
-5.12,530.2
-5.58,531.2
-5.81,532.4
-5.6,533.5
-5.49,534.8
-5.47,545.8
-5.44,546.9
-4.96,548.1
-4.44,551.7
-4.38,552.9
-6.3,555.5
-4.54,555.6
-3.87,556.6
-4.24,559.8
-4.09,563
-3.6,564.6
-3.67,565.7
-3.51,566.9
-6,567.2
-3.45,568.2
-3.53,570
-2.99,571
-3.12,578.8
-1.78,581.8
-1.91,583.3
-1.14,590.4
0.11,633.6
1.42,634.6
-0.05,635.6
